,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,QT_APTOS,QT_COMPARECIMENTO,QT_ABSTENCAO,VOTOS_BRANCOS,VOTOS_NULOS,PCT_ABSTENCAO,PCT_BRANCOS,PCT_NULOS
0,PB,19003,RIACHÃO DO POÇO,8736,7450,1286,818,1368,14.72069597069597,10.979865771812081,18.36241610738255
1,PB,19011,ÁGUA BRANCA,15706,12365,3341,1618,2005,21.27212530243219,13.085321471896483,16.215123331985442
2,PB,19020,SOBRADO,14496,12052,2444,1686,1842,16.8598233995585,13.989379356123466,15.283770328576171
3,PB,19038,AGUIAR,9632,7613,2019,381,803,20.961378737541526,5.004597399185603,10.547747274399054
4,PB,19046,SÃO JOSÉ DOS RAMOS,11088,8997,2091,1243,1479,18.858225108225106,13.815716349894409,16.43881293764588
5,PB,19054,ALAGOA GRANDE,44250,34776,9474,6287,7564,21.410169491525423,18.078559926386014,21.750632620197837
6,PB,19062,CAPIM,13030,10412,2618,1707,1819,20.092095165003837,16.39454475605071,17.470226661544373
7,PB,19070,ALAGOA NOVA,32018,25903,6115,3439,5806,19.098632019489038,13.276454464733813,22.4143921553488
8,PB,19089,CUITÉ DE MAMANGUAPE,14160,11099,3061,1405,2052,21.61723163841808,12.658798089918012,18.488152085773493
9,PB,19097,ALAGOINHA,23180,18752,4428,3632,3526,19.10267471958585,19.368600682593858,18.803327645051194
10,PB,19100,CURRAL DE CIMA,11476,9194,2282,1027,1663,19.88497734402231,11.170328475092452,18.08788340221884
11,PB,19119,ALHANDRA,37546,31517,6029,4514,6473,16.0576359665477,14.322429165212425,20.538122283212235
12,PB,19127,RIACHÃO DO BACAMARTE,8956,7512,1444,1117,1811,16.123269316659222,14.86954206602769,24.108093716719914
13,PB,19135,SÃO JOÃO DO RIO DO PEIXE,27854,23417,4437,4594,4824,15.92948948086451,19.618226075073665,20.60041849938079
14,PB,19143,MATINHAS,9016,7239,1777,1094,1660,19.709405501330966,15.112584611134134,22.931344108302252
15,PB,19151,ARAÇAGI,27932,22416,5516,3173,4045,19.747959329800945,14.155067808708067,18.045146324054247
16,PB,19160,LOGRADOURO,8002,6692,1310,551,1207,16.370907273181704,8.233711894799761,18.03646144650329
17,PB,19178,ARARA,17820,13782,4038,1876,2701,22.65993265993266,13.61195762588884,19.598026411261067
18,PB,19186,SERTÃOZINHO,8700,7145,1555,1214,1265,17.873563218390803,16.990902729181244,17.704688593421974
19,PB,19194,ARARUNA,27362,21059,6303,2362,3772,23.035596813098458,11.216107127593903,17.911581746521676
20,PB,19208,RIACHÃO,6408,5066,1342,498,677,20.942571785268417,9.830240821160679,13.363600473746546
21,PB,19216,AREIA,36924,29855,7069,7162,5843,19.144729715090456,23.989281527382346,19.57126109529392
22,PB,19224,SÃO DOMINGOS DO CARIRI,6078,4846,1232,448,526,20.269825600526488,9.244737928188195,10.854312835328106
23,PB,19232,AREIAL,12146,10025,2121,1730,2152,17.46253910752511,17.256857855361595,21.46633416458853
24,PB,19240,CARAÚBAS,8324,7191,1133,592,962,13.611244593945218,8.232512863301348,13.377833402864692
25,PB,19259,AROEIRAS,31384,25926,5458,5155,5659,17.39102727504461,19.88351461852966,21.827509064259818
26,PB,19267,SANTO ANDRÉ,5892,4740,1152,510,842,19.551934826883908,10.759493670886076,17.763713080168777
27,PB,19275,DAMIÃO,9110,7128,1982,422,1072,21.7563117453348,5.920314253647587,15.039281705948374
28,PB,19283,SOSSÊGO,6664,5561,1103,485,800,16.551620648259306,8.721452976083437,14.385901816220104
29,PB,19291,BAÍA DA TRAIÇÃO,14728,12271,2457,1509,1736,16.682509505703422,12.297286284736371,14.147176269252709
30,PB,19305,BARAÚNA,8948,7272,1676,1019,1251,18.73044255699598,14.012651265126513,17.2029702970297
