indicador,ano,nivel_territorial,codigo_localidade,localidade,variavel,unidade,valor,classificacao,categoria
Percentual por faixas de renda,2010,Unidade da Federação,25,Paraíba,Domicílios particulares permanentes - percentual do total geral,Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2010,Unidade da Federação,25,Paraíba,Domicílios particulares permanentes - percentual do total geral,Percentual,22.34,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Percentual por faixas de renda,2010,Unidade da Federação,25,Paraíba,Domicílios particulares permanentes - percentual do total geral,Percentual,25.24,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Percentual por faixas de renda,2010,Unidade da Federação,25,Paraíba,Domicílios particulares permanentes - percentual do total geral,Percentual,28.56,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Percentual por faixas de renda,2010,Unidade da Federação,25,Paraíba,Domicílios particulares permanentes - percentual do total geral,Percentual,11.34,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Percentual por faixas de renda,2010,Unidade da Federação,25,Paraíba,Domicílios particulares permanentes - percentual do total geral,Percentual,3.17,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
Percentual por faixas de renda,2010,Unidade da Federação,25,Paraíba,Domicílios particulares permanentes - percentual do total geral,Percentual,2.52,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Percentual por faixas de renda,2010,Unidade da Federação,25,Paraíba,Domicílios particulares permanentes - percentual do total geral,Percentual,2.44,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Percentual por faixas de renda,2010,Unidade da Federação,25,Paraíba,Domicílios particulares permanentes - percentual do total geral,Percentual,4.38,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
Percentual por faixas de renda,2010,Município,2507507,João Pessoa (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2010,Município,2507507,João Pessoa (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,9.43,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Percentual por faixas de renda,2010,Município,2507507,João Pessoa (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,19.21,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Percentual por faixas de renda,2010,Município,2507507,João Pessoa (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,26.54,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Percentual por faixas de renda,2010,Município,2507507,João Pessoa (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,19.13,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Percentual por faixas de renda,2010,Município,2507507,João Pessoa (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,7.42,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
Percentual por faixas de renda,2010,Município,2507507,João Pessoa (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,6.91,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Percentual por faixas de renda,2010,Município,2507507,João Pessoa (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,7.97,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Percentual por faixas de renda,2010,Município,2507507,João Pessoa (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,3.40,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
Percentual por faixas de renda,2010,Município,2504009,Campina Grande (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2010,Município,2504009,Campina Grande (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,13.21,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Percentual por faixas de renda,2010,Município,2504009,Campina Grande (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,24.32,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Percentual por faixas de renda,2010,Município,2504009,Campina Grande (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,30.70,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Percentual por faixas de renda,2010,Município,2504009,Campina Grande (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,16.05,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Percentual por faixas de renda,2010,Município,2504009,Campina Grande (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,5.23,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
Percentual por faixas de renda,2010,Município,2504009,Campina Grande (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,4.13,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Percentual por faixas de renda,2010,Município,2504009,Campina Grande (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,3.55,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Percentual por faixas de renda,2010,Município,2504009,Campina Grande (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,2.81,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
Percentual por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,19.90,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Percentual por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,30.48,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Percentual por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,30.74,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Percentual por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,10.14,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Percentual por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,1.74,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
