indicador,ano,nivel_territorial,codigo_localidade,localidade,variavel,unidade,valor,classificacao,categoria
Renda média domiciliar per capita,2022,Unidade da Federação,25,Paraíba,"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,1097.81,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda média domiciliar per capita,2022,Município,2500106,Água Branca (PB),"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,771.95,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda média domiciliar per capita,2022,Município,2500205,Aguiar (PB),"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,737.35,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda média domiciliar per capita,2022,Município,2500304,Alagoa Grande (PB),"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,725.37,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda média domiciliar per capita,2022,Município,2500403,Alagoa Nova (PB),"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,726.13,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda média domiciliar per capita,2022,Município,2500502,Alagoinha (PB),"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,687.49,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda média domiciliar per capita,2022,Município,2500536,Alcantil (PB),"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,723.59,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda média domiciliar per capita,2022,Município,2500577,Algodão de Jandaíra (PB),"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,556.64,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda média domiciliar per capita,2022,Município,2500601,Alhandra (PB),"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,764.63,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda média domiciliar per capita,2022,Município,2500700,São João do Rio do Peixe (PB),"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,847.03,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda média domiciliar per capita,2022,Município,2500734,Amparo (PB),"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,642.40,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
