indicador,ano,nivel_territorial,codigo_localidade,localidade,variavel,unidade,valor,classificacao,categoria
Renda mediana domiciliar per capita,2022,Unidade da Federação,25,Paraíba,"Valor do rendimento nominal mediano mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,650.00,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda mediana domiciliar per capita,2022,Município,2500106,Água Branca (PB),"Valor do rendimento nominal mediano mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,510.00,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda mediana domiciliar per capita,2022,Município,2500205,Aguiar (PB),"Valor do rendimento nominal mediano mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,550.00,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda mediana domiciliar per capita,2022,Município,2500304,Alagoa Grande (PB),"Valor do rendimento nominal mediano mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,535.33,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda mediana domiciliar per capita,2022,Município,2500403,Alagoa Nova (PB),"Valor do rendimento nominal mediano mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,600.00,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda mediana domiciliar per capita,2022,Município,2500502,Alagoinha (PB),"Valor do rendimento nominal mediano mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,537.33,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda mediana domiciliar per capita,2022,Município,2500536,Alcantil (PB),"Valor do rendimento nominal mediano mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,604.00,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda mediana domiciliar per capita,2022,Município,2500577,Algodão de Jandaíra (PB),"Valor do rendimento nominal mediano mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,403.00,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda mediana domiciliar per capita,2022,Município,2500601,Alhandra (PB),"Valor do rendimento nominal mediano mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,603.00,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda mediana domiciliar per capita,2022,Município,2500700,São João do Rio do Peixe (PB),"Valor do rendimento nominal mediano mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,606.00,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda mediana domiciliar per capita,2022,Município,2500734,Amparo (PB),"Valor do rendimento nominal mediano mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,455.50,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda mediana domiciliar per capita,2022,Município,2500775,Aparecida (PB),"Valor do rendimento nominal mediano mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,600.00,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda mediana domiciliar per capita,2022,Município,2500809,Araçagi (PB),"Valor do rendimento nominal mediano mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,537.33,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda mediana domiciliar per capita,2022,Município,2500908,Arara (PB),"Valor do rendimento nominal mediano mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,600.00,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda mediana domiciliar per capita,2022,Município,2501005,Araruna (PB),"Valor do rendimento nominal mediano mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,500.00,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda mediana domiciliar per capita,2022,Município,2501104,Areia (PB),"Valor do rendimento nominal mediano mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,533.33,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda mediana domiciliar per capita,2022,Município,2501153,Areia de Baraúnas (PB),"Valor do rendimento nominal mediano mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,454.00,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda mediana domiciliar per capita,2022,Município,2501203,Areial (PB),"Valor do rendimento nominal mediano mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,537.33,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
Renda mediana domiciliar per capita,2022,Município,2501302,Aroeiras (PB),"Valor do rendimento nominal mediano mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,472.40,Sexo | Cor ou raça | Grupo de idade,Total | Total | Total
