,Unnamed: 0,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,QT_APTOS,QT_COMPARECIMENTO,QT_ABSTENCAO,VOTOS_BRANCOS,VOTOS_NULOS,PCT_ABSTENCAO,PCT_BRANCOS,PCT_NULOS,ANALFABETO,ENSINO FUNDAMENTAL COMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MÉDIO COMPLETO,ENSINO MÉDIO INCOMPLETO,LÊ E ESCREVE,SUPERIOR COMPLETO,SUPERIOR INCOMPLETO,100 anos ou mais              ,16 anos                       ,17 anos                       ,18 anos                       ,19 anos                       ,20 anos                       ,21 a 24 anos                  ,25 a 29 anos                  ,30 a 34 anos                  ,35 a 39 anos                  ,40 a 44 anos                  ,45 a 49 anos                  ,50 a 54 anos                  ,55 a 59 anos                  ,60 a 64 anos                  ,65 a 69 anos                  ,70 a 74 anos                  ,75 a 79 anos                  ,80 a 84 anos                  ,85 a 89 anos                  ,90 a 94 anos                  ,95 a 99 anos                  ,Inválido                      ,FEMININO,MASCULINO,codigo_ibge,municipio,pib_mil_reais
0,0,PB,19003,RIACHÃO DO POÇO,8736,7450,1286,818,1368,14.72069597069597,10.97986577181208,18.36241610738255,451.0,255.0,1364.0,807.0,587.0,660.0,158.0,86.0,0.0,33.0,55.0,71.0,91.0,87.0,363.0,479.0,409.0,494.0,475.0,416.0,353.0,288.0,211.0,194.0,174.0,97.0,60.0,14.0,4.0,0.0,0.0,2242.0,2126.0,2512762,Riachão do Poço - PB,73546
1,1,PB,19011,ÁGUA BRANCA,15706,12365,3341,1618,2005,21.27212530243219,13.085321471896483,16.215123331985442,515.0,401.0,2441.0,1413.0,1263.0,1218.0,392.0,210.0,1.0,71.0,112.0,157.0,172.0,165.0,812.0,908.0,779.0,783.0,748.0,638.0,529.0,547.0,400.0,345.0,255.0,222.0,137.0,55.0,11.0,6.0,0.0,4014.0,3839.0,2500106,Água Branca - PB,107368
2,2,PB,19020,SOBRADO,14496,12052,2444,1686,1842,16.8598233995585,13.989379356123466,15.283770328576171,865.0,404.0,1756.0,1279.0,977.0,1544.0,249.0,174.0,0.0,45.0,79.0,124.0,127.0,154.0,582.0,793.0,799.0,738.0,729.0,655.0,610.0,521.0,403.0,329.0,257.0,162.0,96.0,33.0,12.0,0.0,0.0,3698.0,3550.0,2515971,Sobrado - PB,135262
3,3,PB,19038,AGUIAR,9632,7613,2019,381,803,20.961378737541526,5.004597399185603,10.547747274399054,341.0,226.0,1323.0,776.0,676.0,1193.0,203.0,78.0,2.0,61.0,70.0,77.0,86.0,101.0,390.0,466.0,413.0,462.0,520.0,404.0,350.0,330.0,307.0,236.0,203.0,143.0,106.0,67.0,18.0,4.0,0.0,2479.0,2337.0,2500205,Aguiar - PB,68585
4,4,PB,19046,SÃO JOSÉ DOS RAMOS,11088,8997,2091,1243,1479,18.858225108225103,13.815716349894409,16.43881293764588,669.0,184.0,1637.0,940.0,724.0,1143.0,169.0,78.0,1.0,56.0,64.0,85.0,121.0,134.0,544.0,661.0,634.0,582.0,571.0,462.0,408.0,336.0,253.0,220.0,170.0,111.0,80.0,34.0,14.0,3.0,0.0,2797.0,2747.0,2514453,São José dos Ramos - PB,78200
5,5,PB,19054,ALAGOA GRANDE,44250,34776,9474,6287,7564,21.410169491525423,18.078559926386014,21.75063262019784,2801.0,696.0,5959.0,3737.0,2773.0,4174.0,1139.0,846.0,5.0,134.0,217.0,303.0,381.0,438.0,1947.0,2393.0,2177.0,2222.0,2087.0,1852.0,1719.0,1596.0,1358.0,1066.0,885.0,651.0,417.0,210.0,56.0,11.0,0.0,11564.0,10561.0,2500304,Alagoa Grande - PB,367232
6,6,PB,19062,CAPIM,13030,10412,2618,1707,1819,20.09209516500384,16.39454475605071,17.470226661544373,1409.0,219.0,1520.0,809.0,1102.0,1128.0,204.0,124.0,1.0,42.0,62.0,125.0,151.0,152.0,669.0,841.0,704.0,714.0,754.0,569.0,465.0,363.0,270.0,237.0,188.0,122.0,52.0,24.0,9.0,1.0,0.0,3213.0,3302.0,2504033,Capim - PB,101592
7,7,PB,19070,ALAGOA NOVA,32018,25903,6115,3439,5806,19.09863201948904,13.276454464733812,22.4143921553488,1591.0,790.0,4619.0,2075.0,2144.0,3729.0,625.0,436.0,6.0,118.0,201.0,286.0,341.0,318.0,1388.0,1649.0,1645.0,1626.0,1569.0,1303.0,1195.0,1104.0,892.0,689.0,608.0,443.0,332.0,184.0,95.0,17.0,0.0,8336.0,7673.0,2500403,Alagoa Nova - PB,376825
8,8,PB,19089,CUITÉ DE MAMANGUAPE,14160,11099,3061,1405,2052,21.61723163841808,12.658798089918012,18.488152085773493,1373.0,254.0,1625.0,1005.0,989.0,1483.0,206.0,145.0,1.0,58.0,47.0,87.0,112.0,140.0,647.0,904.0,814.0,782.0,688.0,573.0,511.0,500.0,365.0,345.0,239.0,131.0,81.0,44.0,7.0,4.0,0.0,3476.0,3604.0,2505238,Cuité de Mamanguape - PB,85105
9,9,PB,19097,ALAGOINHA,23180,18752,4428,3632,3526,19.10267471958585,19.368600682593858,18.803327645051198,1513.0,445.0,2775.0,2077.0,1668.0,2217.0,591.0,304.0,6.0,91.0,159.0,187.0,221.0,245.0,993.0,1293.0,1216.0,1212.0,1174.0,1058.0,899.0,753.0,536.0,488.0,378.0,303.0,201.0,110.0,49.0,18.0,0.0,6014.0,5576.0,2500502,Alagoinha - PB,166686
10,10,PB,19100,CURRAL DE CIMA,11476,9194,2282,1027,1663,19.88497734402231,11.170328475092452,18.08788340221884,754.0,219.0,1542.0,718.0,879.0,1366.0,173.0,87.0,1.0,51.0,60.0,97.0,118.0,139.0,543.0,649.0,599.0,558.0,583.0,496.0,451.0,350.0,281.0,234.0,237.0,128.0,89.0,54.0,17.0,2.0,1.0,2832.0,2906.0,2505279,Curral de Cima - PB,74436
11,11,PB,19119,ALHANDRA,37546,31517,6029,4514,6473,16.0576359665477,14.322429165212425,20.538122283212235,1483.0,472.0,4536.0,3938.0,3231.0,3882.0,749.0,482.0,0.0,124.0,200.0,298.0,374.0,433.0,1807.0,2212.0,2023.0,2082.0,2104.0,1810.0,1505.0,1246.0,925.0,642.0,498.0,304.0,129.0,44.0,12.0,1.0,0.0,9781.0,8992.0,2500601,Alhandra - PB,3148252
12,12,PB,19127,RIACHÃO DO BACAMARTE,8956,7512,1444,1117,1811,16.123269316659222,14.86954206602769,24.108093716719917,404.0,183.0,1293.0,607.0,748.0,978.0,165.0,100.0,0.0,47.0,80.0,83.0,113.0,104.0,419.0,484.0,454.0,420.0,444.0,355.0,354.0,296.0,227.0,176.0,166.0,118.0,84.0,35.0,13.0,6.0,0.0,2309.0,2169.0,2512754,Riachão do Bacamarte - PB,68122
13,13,PB,19135,SÃO JOÃO DO RIO DO PEIXE,27854,23417,4437,4594,4824,15.92948948086451,19.618226075073665,20.60041849938079,1560.0,618.0,4561.0,2635.0,1651.0,1510.0,892.0,500.0,0.0,123.0,177.0,181.0,221.0,250.0,968.0,1280.0,1187.0,1426.0,1434.0,1259.0,1163.0,1092.0,897.0,780.0,678.0,418.0,263.0,100.0,22.0,8.0,0.0,7197.0,6730.0,2500700,São João do Rio do Peixe - PB,286060
14,14,PB,19143,MATINHAS,9016,7239,1777,1094,1660,19.709405501330966,15.112584611134134,22.93134410830225,318.0,220.0,1572.0,589.0,662.0,904.0,157.0,86.0,3.0,31.0,59.0,89.0,97.0,90.0,454.0,517.0,487.0,492.0,412.0,361.0,313.0,304.0,240.0,171.0,157.0,109.0,64.0,43.0,12.0,3.0,0.0,2273.0,2235.0,2509339,Matinhas - PB,80821
15,15,PB,19151,ARAÇAGI,27932,22416,5516,3173,4045,19.747959329800945,14.155067808708068,18.045146324054247,1817.0,536.0,3525.0,2286.0,1995.0,2993.0,529.0,285.0,4.0,121.0,169.0,207.0,236.0,269.0,1127.0,1473.0,1335.0,1336.0,1335.0,1230.0,1132.0,1046.0,774.0,721.0,571.0,403.0,279.0,121.0,62.0,15.0,0.0,7217.0,6749.0,2500809,Araçagi - PB,233113
16,16,PB,19160,LOGRADOURO,8002,6692,1310,551,1207,16.370907273181704,8.233711894799761,18.03646144650329,255.0,148.0,1405.0,705.0,725.0,531.0,137.0,95.0,0.0,46.0,45.0,67.0,77.0,89.0,320.0,462.0,480.0,446.0,391.0,356.0,272.0,298.0,186.0,144.0,140.0,82.0,64.0,28.0,8.0,0.0,0.0,2012.0,1989.0,2508554,Logradouro - PB,65569
17,17,PB,19178,ARARA,17820,13782,4038,1876,2701,22.65993265993266,13.61195762588884,19.598026411261067,1247.0,329.0,2665.0,1291.0,1019.0,1787.0,341.0,231.0,8.0,66.0,138.0,127.0,158.0,174.0,697.0,878.0,781.0,804.0,800.0,707.0,664.0,590.0,534.0,477.0,492.0,359.0,258.0,132.0,49.0,17.0,0.0,4760.0,4150.0,2500908,Arara - PB,133977
18,18,PB,19186,SERTÃOZINHO,8700,7145,1555,1214,1265,17.873563218390803,16.990902729181244,17.704688593421974,338.0,212.0,1225.0,965.0,642.0,653.0,199.0,116.0,2.0,46.0,68.0,91.0,62.0,97.0,342.0,465.0,451.0,420.0,448.0,383.0,336.0,280.0,222.0,178.0,193.0,135.0,85.0,33.0,10.0,3.0,0.0,2248.0,2102.0,2515930,Sertãozinho - PB,71175
19,19,PB,19194,ARARUNA,27362,21059,6303,2362,3772,23.035596813098454,11.216107127593904,17.911581746521676,1396.0,771.0,3278.0,2422.0,1811.0,2905.0,710.0,388.0,0.0,124.0,198.0,229.0,272.0,323.0,1331.0,1451.0,1361.0,1367.0,1276.0,1226.0,1066.0,981.0,739.0,631.0,500.0,304.0,199.0,69.0,26.0,8.0,0.0,7069.0,6612.0,2501005,Araruna - PB,244109
20,20,PB,19208,RIACHÃO,6408,5066,1342,498,677,20.942571785268417,9.83024082116068,13.363600473746546,321.0,179.0,708.0,639.0,476.0,640.0,154.0,87.0,0.0,29.0,33.0,55.0,64.0,50.0,270.0,350.0,362.0,351.0,345.0,285.0,207.0,201.0,160.0,155.0,132.0,72.0,47.0,27.0,6.0,3.0,0.0,1638.0,1566.0,2512747,Riachão - PB,42007
21,21,PB,19216,AREIA,36924,29855,7069,7162,5843,19.144729715090456,23.989281527382342,19.57126109529392,2209.0,682.0,5308.0,3301.0,2089.0,2526.0,1432.0,915.0,10.0,100.0,165.0,244.0,311.0,347.0,1420.0,2010.0,2009.0,2019.0,1919.0,1481.0,1301.0,1347.0,1075.0,873.0,707.0,495.0,317.0,197.0,87.0,28.0,0.0,9706.0,8756.0,2501104,Areia - PB,355512
